order_id,customer_id,staff_id,store_id,product_id,quantity,list_price,discount
1,259,2,1,20,1,11.76886336031678,0
1,259,2,1,8,2,35.30698238293405,0
1,259,2,1,10,2,30.383788638361793,0
1,259,2,1,16,2,11.76886336031678,0
1,259,2,1,4,1,56.883591486999876,0
2,1212,6,2,20,1,11.76886336031678,0
2,1212,6,2,16,2,11.76886336031678,0
3,523,7,2,3,1,19.614903034522538,0
3,523,7,2,20,1,11.76886336031678,0
4,175,3,1,2,2,14.711128238143939,0
5,1324,6,2,10,2,30.383788638361793,0
2,1212,6,2,16,2,11.76886336031678,0
3,523,7,2,3,1,19.614903034522538,0
5,1324,6,2,17,1,8.414877550585674,0
5,1324,6,2,26,1,11.76886336031678,0
6,94,6,2,18,1,8.807179534295962,0
6,94,6,2,12,2,10.788108401041061,0
6,94,6,2,20,1,11.76886336031678,0
6,94,6,2,3,2,19.614903034522538,0
6,94,6,2,9,2,58.84510140555132,0
7,324,6,2,15,1,10.395806417330773,0
7,324,6,2,3,1,19.614903034522538,0
7,324,6,2,17,2,8.414877550585674,0
6,94,6,2,9,2,58.84510140555132,0
7,324,6,2,15,1,10.395806417330773,0
7,324,6,2,3,1,19.614903034522538,0
7,324,6,2,17,2,8.414877550585674,0
8,1204,7,2,22,1,5.295880629097031,0
8,1204,7,2,20,2,11.76886336031678,0
9,60,2,1,7,2,78.4602005910657,0
10,442,6,2,14,1,5.295880629097031,0
11,1326,7,2,8,1,35.30698238293405,0
11,1326,7,2,22,2,5.295880629097031,0
11,1326,7,2,16,2,11.76886336031678,0
12,91,2,1,4,2,56.883591486999876,0
12,91,2,1,11,1,32.972785579857835,0
13,873,6,2,13,1,5.295880629097031,0
13,873,6,2,17,2,8.414877550585674,0
13,873,6,2,20,2,11.76886336031678,0
13,873,6,2,16,2,11.76886336031678,0
14,258,3,1,6,1,9.218900466199909,0
15,450,7,2,12,2,10.788108401041061,0
15,450,7,2,8,1,35.30698238293405,0
15,450,7,2,18,2,8.807179534295962,0
15,450,7,2,23,2,5.884333604662462,0
16,552,3,1,8,1,35.30698238293405,0
16,552,3,1,21,1,5.295880629097031,0
16,552,3,1,13,2,5.295880629097031,0
16,552,3,1,14,1,5.295880629097031,0
17,1175,3,1,8,1,35.30698238293405,0
17,1175,3,1,23,1,5.884333604662462,0
17,1175,3,1,5,1,25.911349873072655,0
17,1175,3,1,20,2,11.76886336031678,0
18,541,3,1,2,2,14.711128238143939,0
18,541,3,1,22,1,5.295880629097031,0
18,541,3,1,7,1,78.4602005910657,0
18,541,3,1,25,2,9.807353441765342,0
18,541,3,1,9,2,58.84510140555132,0
19,696,2,1,10,1,30.383788638361793,0
19,696,2,1,9,2,58.84510140555132,0
20,923,2,1,9,1,58.84510140555132,0
20,923,2,1,10,2,30.383788638361793,0
21,1250,6,2,14,1,5.295880629097031,0
21,1250,6,2,17,1,8.414877550585674,0
21,1250,6,2,10,1,30.383788638361793,0
22,1035,2,1,15,2,10.395806417330773,0
22,1035,2,1,22,1,5.295880629097031,0
23,1149,2,1,4,2,56.883591486999876,0
23,1149,2,1,23,2,5.884333604662462,0
23,1149,2,1,13,1,5.295880629097031,0
24,636,7,2,3,2,19.614903034522538,0
24,636,7,2,18,2,8.807179534295962,0
25,657,6,2,23,2,5.884333604662462,0
25,657,6,2,10,2,30.383788638361793,0
25,657,6,2,22,1,5.295880629097031,0
25,657,6,2,14,1,5.295880629097031,0
25,657,6,2,21,1,5.295880629097031,0
26,1280,7,2,7,1,78.4602005910657,0
26,1280,7,2,2,1,14.711128238143939,0
26,1280,7,2,12,1,10.788108401041061,0
26,1280,7,2,21,2,5.295880629097031,0
27,57,7,2,5,1,25.911349873072655,0
27,57,7,2,19,1,8.807179534295962,0
27,57,7,2,26,2,11.76886336031678,0
27,57,7,2,8,1,35.30698238293405,0
28,252,6,2,5,1,25.911349873072655,0
28,252,6,2,7,2,78.4602005910657,0
28,252,6,2,14,2,5.295880629097031,0
28,252,6,2,6,1,9.218900466199909,0
29,437,6,2,24,2,10.788108401041061,0
29,437,6,2,6,1,9.218900466199909,0
29,437,6,2,21,2,5.295880629097031,0
29,437,6,2,8,1,35.30698238293405,0
29,437,6,2,14,2,5.295880629097031,0
30,1348,6,2,26,1,11.76886336031678,0
30,1348,6,2,17,1,8.414877550585674,0
30,1348,6,2,19,1,8.807179534295962,0
30,1348,6,2,4,1,56.883591486999876,0
30,1348,6,2,7,2,78.4602005910657,0
31,1238,8,3,11,2,32.972785579857835,0
31,1238,8,3,9,2,58.84510140555132,0
32,1259,3,1,8,2,35.30698238293405,0
32,1259,3,1,12,2,10.788108401041061,0
32,1259,3,1,25,2,9.807353441765342,0
33,236,6,2,23,2,5.884333604662462,0
33,236,6,2,7,1,78.4602005910657,0
34,80,6,2,8,2,35.30698238293405,0
34,80,6,2,10,2,30.383788638361793,0
34,80,6,2,17,2,8.414877550585674,0
35,813,7,2,18,1,8.807179534295962,0
35,813,7,2,20,2,11.76886336031678,0
35,813,7,2,5,1,25.911349873072655,0
35,813,7,2,21,2,5.295880629097031,0
35,813,7,2,22,1,5.295880629097031,0
36,1321,6,2,9,1,58.84510140555132,0
36,1321,6,2,5,1,25.911349873072655,0
36,1321,6,2,3,2,19.614903034522538,0
37,164,6,2,16,2,11.76886336031678,0
38,583,7,2,7,2,78.4602005910657,0
38,583,7,2,23,1,5.884333604662462,0
38,583,7,2,25,1,9.807353441765342,0
38,583,7,2,10,2,30.383788638361793,0
38,583,7,2,24,1,10.788108401041061,0
39,1296,7,2,22,2,5.295880629097031,0
39,1296,7,2,16,2,11.76886336031678,0
39,1296,7,2,3,2,19.614903034522538,0
39,1296,7,2,15,1,10.395806417330773,0
40,348,3,1,17,1,8.414877550585674,0
40,348,3,1,8,2,35.30698238293405,0
41,979,6,2,5,1,25.911349873072655,0
41,979,6,2,19,2,8.807179534295962,0
41,979,6,2,26,2,11.76886336031678,0
42,1095,7,2,19,1,8.807179534295962,0
43,1434,7,2,13,2,5.295880629097031,0
43,1434,7,2,12,2,10.788108401041061,0
44,861,7,2,7,1,78.4602005910657,0
44,861,7,2,16,1,11.76886336031678,0
45,1220,7,2,4,2,56.883591486999876,0
45,1220,7,2,22,1,5.295880629097031,0
45,1220,7,2,21,2,5.295880629097031,0
46,746,7,2,17,1,8.414877550585674,0
47,1234,7,2,6,1,9.218900466199909,0
47,1234,7,2,15,1,10.395806417330773,0
47,1234,7,2,25,2,9.807353441765342,0
47,1234,7,2,13,1,5.295880629097031,0
48,1012,7,2,11,1,32.972785579857835,0
48,1012,7,2,4,1,56.883591486999876,0
48,1012,7,2,5,2,25.911349873072655,0
48,1012,7,2,14,2,5.295880629097031,0
49,608,6,2,13,2,5.295880629097031,0
50,872,8,3,3,1,19.614903034522538,0
50,872,8,3,26,2,11.76886336031678,0
50,872,8,3,13,2,5.295880629097031,0
51,1047,7,2,13,1,5.295880629097031,0
51,1047,7,2,20,1,11.76886336031678,0
51,1047,7,2,26,2,11.76886336031678,0
52,767,2,1,25,1,9.807353441765342,0
53,965,6,2,8,2,35.30698238293405,0
53,965,6,2,23,2,5.884333604662462,0
53,965,6,2,14,2,5.295880629097031,0
53,965,6,2,25,2,9.807353441765342,0
54,535,7,2,26,2,11.76886336031678,0
54,535,7,2,3,1,19.614903034522538,0
55,1173,6,2,21,1,5.295880629097031,0
55,1173,6,2,25,2,9.807353441765342,0
55,1173,6,2,15,2,10.395806417330773,0
56,1241,6,2,20,2,11.76886336031678,0
57,1305,7,2,23,2,5.884333604662462,0
57,1305,7,2,19,2,8.807179534295962,0
57,1305,7,2,13,1,5.295880629097031,0
58,504,6,2,14,2,5.295880629097031,0
58,504,6,2,18,1,8.807179534295962,0
58,504,6,2,23,1,5.884333604662462,0
59,563,7,2,21,1,5.295880629097031,0
59,563,7,2,2,1,14.711128238143939,0
59,563,7,2,17,2,8.414877550585674,0
